id,fecha,usuario,texto,tema,sentimiento,likes,reposts
1,20/02/2024,user_26451,crecimos con YouTube creyendo que todos podíamos ser famosos. qué decepción.,Generación Z y crisis de sentido,neutral,4826,716
2,02/02/2022,user_90167,Me piden 5 años de experiencia para un trabajo entry level. mi salud mental va en picada.,Generación Z y crisis de sentido,neutral,3927,3303
3,02/08/2023,user_29727,"mi rutina es scroll, trabajo, scroll, dormir y repetir. ¿esto es vivir?.",Generación Z y crisis de sentido,neutral,6068,1549
4,25/10/2022,user_37650,"la IA es útil pero estamos, perdiendo habilidades que no recuperaremos.",IA y pérdida de autonomía humana,negativo,11409,1875
5,11/08/2024,user_43754,TikTok me tiene con una capacidad de atención. de 15 segundos ya ni puedo ver películas completas.,Generación Z y crisis de sentido,positivo,4153,2738
6,12/03/2023,user_71902,honestamente ya no sé qué es real todo es contenido. todo es performance.,Generación Z y crisis de sentido,neutral,6804,1429
7,13/07/2024,user_61602,Llevo 3 días sin dormir bien la presión de ser productivo 24/7. me tiene al borde del colapso ¿cuándo normalizamos el burnout?.,Generación Z y crisis de sentido,positivo,17199,3550
8,24/12/2024,user_91379,Alexa controla mi casa mi celular mi vida. pero también propósito y significado.,IA y pérdida de autonomía humana,neutral,11797,3883
9,13/09/2022,user_28580,estoy cansado de fingir que todo está bien cuando claramente. nada lo está.,Generación Z y crisis de sentido,positivo,4218,4739
10,25/05/2024,user_60115,Tres trabajos y aún no me alcanza. para independizarme ¿así va a ser toda la vida?.,Generación Z y crisis de sentido,negativo,7751,1833
11,30/06/2024,user_25543,ChatGPT hace mi tarea Google Maps decide mi ruta. renuncio a algo de mi humanidad.,IA y pérdida de autonomía humana,negativo,7766,2155
12,24/07/2022,user_74918,"Empresas reemplazando humanos, con IA y bots, llamándolo. optimización de recursos.",IA y pérdida de autonomía humana,neutral,15135,3712
13,03/07/2023,user_85165,Tengo 25 años y siento que debería tener. cuando claramente nada lo está.,Generación Z y crisis de sentido,positivo,19002,3215
14,21/12/2023,user_45678,"dependemos de la IA para pensar, para crear para decidir. Mal camino.",IA y pérdida de autonomía humana,positivo,7194,2030
15,30/05/2024,user_78234,"Los algoritmos saben, más de mí, que yo mismo. es perturbador y conveniente.",IA y pérdida de autonomía humana,positivo,3063,3369
16,08/08/2023,user_21715,La salud mental es importante hasta que pides días libres. cuando claramente nada lo está.,Generación Z y crisis de sentido,positivo,9392,3415
17,05/08/2022,user_58137,"dependemos de la IA para pensar, para crear para decidir. Mal camino.",IA y pérdida de autonomía humana,positivo,17979,3755
18,13/09/2023,user_47421,Netflix decide qué veo Amazon qué compro. pero también propósito y significado.,IA y pérdida de autonomía humana,positivo,6372,678
19,01/10/2022,user_58777,Mi ansiedad tiene ansiedad y encima siento culpa. por no estar bien es un círculo sin fin.,Generación Z y crisis de sentido,negativo,12574,681
20,11/08/2023,user_41005,"la eficiencia no es todo a veces el proceso humano, tiene valor aunque sea lento.",IA y pérdida de autonomía humana,positivo,16893,3291
21,07/12/2022,user_93687,Me siento perdido entre lo que esperan de mí. podíamos ser famosos qué decepción.,Generación Z y crisis de sentido,neutral,7592,2870
22,12/08/2022,user_57337,Empresas reemplazando humanos con IA y bots. pero también propósito y significado.,IA y pérdida de autonomía humana,positivo,6587,4280
23,21/05/2022,user_63331,ChatGPT hace mi tarea Google Maps decide mi ruta. Spotify elige mi música ¿todavía pienso por mí mismo?.,IA y pérdida de autonomía humana,negativo,15283,357
24,14/09/2023,user_87785,Chateamos todo el día pero cuando nos vemos. de estar aburridos y ahí está la creatividad.,Generación Z y crisis de sentido,neutral,14174,699
25,26/01/2022,user_51673,"nos están vendiendo la IA como solución, pero nadie habla de lo que perdemos.",IA y pérdida de autonomía humana,neutral,2600,1772
26,01/07/2022,user_29607,crecimos con YouTube creyendo que todos podíamos ser famosos. qué decepción.,Generación Z y crisis de sentido,neutral,5707,1703
27,12/10/2022,user_32640,Pasé 2 horas editando una foto para Instagram. cuando claramente nada lo está.,Generación Z y crisis de sentido,positivo,4612,4439
28,09/08/2024,user_83434,Todos hablan del cambio climático. pero nadie hace nada real ¿para qué planear un futuro?.,Generación Z y crisis de sentido,neutral,13527,1904
29,15/08/2022,user_96531,Los trabajos del futuro no existen todavía. para crear para decidir. Mal camino.,IA y pérdida de autonomía humana,negativo,2590,514
30,18/06/2024,user_20245,Mis papás compraron casa a mi edad. yo apenas puedo pagar mi comida del mes.,Generación Z y crisis de sentido,positivo,11024,4202
31,24/02/2023,user_98701,"nos están vendiendo la IA como solución, pero nadie habla de lo que perdemos.",IA y pérdida de autonomía humana,positivo,14862,3606
32,12/05/2024,user_31601,Todos mis amigos están emprendiendo o haciendo side hustles. y yo solo quiero un trabajo que no me consuma la vida.,Generación Z y crisis de sentido,negativo,8756,4309
33,20/05/2023,user_71814,La salud mental es importante hasta que pides días libres. cuando claramente nada lo está.,Generación Z y crisis de sentido,negativo,9692,2009
34,08/08/2022,user_5918,"Si la IA hace todo, ¿qué sentido tiene, estudiar o trabajar?. crisis existencial 2.0.",IA y pérdida de autonomía humana,negativo,16553,4365
35,30/01/2024,user_47545,"La IA está en medicina, justicia, educación. ¿confiamos tanto en la tecnología?.",IA y pérdida de autonomía humana,neutral,16338,238
36,14/05/2022,user_68373,Me piden 5 años de experiencia para un trabajo entry level. que paga salario mínimo el mercado laboral está roto.,Generación Z y crisis de sentido,negativo,5950,1530
37,25/05/2023,user_30311,Mi feed está lleno de gente de mi edad siendo CEOs. mientras yo apenas puedo pagar la renta.,Generación Z y crisis de sentido,positivo,18390,2766
38,25/03/2023,user_65757,Mi ansiedad tiene ansiedad y encima siento culpa. por no estar bien es un círculo sin fin.,Generación Z y crisis de sentido,positivo,588,2858
39,31/01/2024,user_71845,Tinder decide mis matches LinkedIn mis trabajos. las apps controlan mi vida social y laboral.,IA y pérdida de autonomía humana,negativo,17111,2657
40,17/05/2024,user_7319,"Alexa controla mi casa, mi celular mi vida, la IA mi trabajo. ¿dónde estoy yo en todo esto?.",IA y pérdida de autonomía humana,positivo,15407,1082
41,02/04/2023,user_54014,El algoritmo me muestra solo lo que confirma. mis creencias vivo en una burbuja digital.,IA y pérdida de autonomía humana,negativo,11127,4866
42,19/08/2024,user_12490,Renuncié a mi privacidad por comodidad. y ahora no sé cómo recuperarla.,IA y pérdida de autonomía humana,positivo,11500,1534
43,22/01/2023,user_59399,"nos están vendiendo la IA como solución, pero nadie habla de lo que perdemos.",IA y pérdida de autonomía humana,neutral,724,879
